item_id	i_genre_c	r_sequel
1	fantasy	[1216022, 1251658, 6595389, 17347380, 22844202, 840577]
2	fantasy	[862714, 34258, 34260, 87830, 70355, 13563636, 18271937, 17347381, 22844196, 22037456, 28144751, 840582, 28780969]
3	fantasy	[28132722, 848654, 72193, 142293, 25313807, 77523, 430569, 4593339, 121121, 2830061, 3484606, 862267, 1811146, 1033918, 202588, 15868, 821787, 49771, 3102821, 3310083, 7955579, 13562891, 16221043, 17372039, 22841994, 21523103, 24490481, 24548235, 28550610, 29546094, 32196033, 32196073, 28757261, 2239941]
4	fantasy	[615204, 545121, 7809996, 713214, 3310098, 7979789, 12230873, 13603662, 13563648, 13564685, 18193751, 17347384, 22841998, 22037377, 30184931, 29917268, 29241319, 29238041, 28141183, 28699254, 480478, 72196]
6	childhood	[793306, 862712, 49839, 333664, 18134429, 17347382, 22052771, 22844191, 28137887, 1883483]
7	fantasy	[]
8	fantasy	[]
10	fantasy	[7]
11	science-fiction	[386162, 3245424, 8706, 6492539, 10421640, 14, 8653023, 16, 79259, 13484271, 1110350, 81644, 35533631, 6691227, 11177547, 6315567, 10052680]
12	science-fiction	[9359913, 13]
13	science-fiction	[]
14	science-fiction	[8653023, 16, 79259, 13484271, 1110350, 81644, 35533631, 6691227, 11177547, 6315567, 10052680]
16	science-fiction	[79259, 13484271, 1110350, 81644, 35533631, 6691227, 11177547, 6315567, 10052680]
18	science-fiction	[16094002, 8149616, 12, 9359913, 13]
30	fantasy	[]
32	fantasy	[15354]
33	fantasy	[827763, 6413483, 13510444, 13729429, 32, 15354]
34	fantasy	[15997536, 15331, 822619, 9678418, 1933444, 13604689, 13513038, 15923738, 13356706, 17206506, 17237811, 15923739, 17611510, 423092, 481774, 11186746, 13488305]
35	fantasy	[4722059, 706457, 15350, 33, 827763, 6413483, 13510444, 13729429, 32, 15354]
58	fantasy	[]
103	sci-fi	[42432, 2890074, 77171]
104	science-fiction	[7635710, 234225, 12376944, 13536892, 11273438, 17662622, 20441724, 991909]
106	science-fiction	[1585952, 8117883]
119	fantasy	[]
208	fantasy	[]
355	science-fiction	[]
357	fantasy	[32719922, 11547200]
358	science-fiction	[823528, 886015, 365, 15721484]
359	science-fiction	[17057268]
365	science-fiction	[15721484]
371	science-fiction	[359, 17057268]
378	fantasy	[]
866	manga	[]
868	manga	[]
869	mangá	[2967925, 6607939]
871	manga	[]
1307	fantasy	[1032238, 2946035, 13562482]
1309	fantasy	[]
1375	classic	[]
1426	spirituality	[]
1622	classics	[]
1909	fantasy	[]
2002	fantasy	[]
2315	fantasy	[127122]
2329	fantasy	[]
2442	fantasy	[64274, 7571274, 15849484, 20494122, 6564629]
2744	fantasy	[373951, 1021837, 18306811]
2813	fantasy	[]
2880	manga	[]
2881	manga	[]
2882	manga	[]
2883	manga	[]
3298	fantasy	[16526, 47739, 1574651]
3303	fantasy	[837675, 16529, 4613905, 16533]
3304	fantasy	[23516045, 1574115, 4313532, 67660, 22042530]
3479	romance	[]
3638	fantasy	[]
3682	fantasy	[7007937, 634771, 6402760, 6381893, 2107806, 7539708, 304306, 219760]
3852	lora-leigh	[]
3973	fantasy	[6445824, 118050]
4008	paulo-coelho	[53812, 2939708, 3336558, 13482896, 1994945]
4117	fantasy	[2911736]
4214	fantasy	[]
4407	fantasy	[983096, 582569, 7140687, 30165203, 11823620, 12417793, 11275360, 20627102, 13425969, 15838184, 13101468, 30166675, 18161930, 28116133, 31199020, 983100]
4513	fantasy	[9268967, 11184426, 9440324, 8675453, 10625567, 17951445, 17901064, 3073457]
4515	horror	[6650911, 6699972, 11429573, 16095742, 13448766, 13638002, 12291506, 12814595, 7787739, 20317494, 18773989, 23212548, 23475181, 21043488]
4520	fantasy	[3188977, 7128341, 8115212, 8065885, 9930923, 6340843, 11001840, 7787740, 9790778, 9837489, 15816303, 12785927, 12953586, 19202652]
4835	fantasy	[10678944, 12823301, 18907774]
4978	horror	[12697885, 19721271, 528084]
5004	dragonlance	[]
5036	fantasy	[]
5038	fantasy	[9858323, 43896]
5091	fantasy	[11227306, 12982158, 33977934, 6277040, 408854, 1008042]
5092	fantasy	[]
5093	fantasy	[12391741, 19972658, 20062783, 6256572, 4678514]
5094	fantasy	[2484277, 13386852, 12754892, 29430675, 30983474, 995123, 19844937]
5095	fantasy	[1333464, 6083819, 7061672, 16151176, 12785876, 22915879, 13083038, 29430671, 30983471, 94767, 20102513, 18072, 995127]
5096	fantasy	[1629449, 3075802, 3587160, 13083063, 28253767, 13403351]
5098	fantasy	[12877261, 3030034, 11609135, 10389721, 12090838, 18070976, 21855883, 24779443, 29430673, 30983478, 43615, 28253070, 19978116]
5099	stephen-king	[]
5338	fantasy	[]
5365	fantasy	[]
5367	fantasy	[]
5372	fantasy	[]
5374	fantasy	[]
5375	fantasy	[1400424, 6642292]
5881	pirates	[]
5882	pirates	[]
5883	pirates	[]
5885	pirates	[]
5886	pirates	[]
5887	pirates	[]
5889	pirates	[]
5898	fantasy	[35, 4722059, 706457, 15350, 33, 827763, 6413483, 13510444, 13729429, 32, 15354]
5907	classic	[42672, 838640, 8540726, 12973648, 13512170, 15923724, 289870, 15809993, 16170202, 16134225, 17183425, 15329, 5915, 13414569, 227221, 6637795]
5915	classic	[13414569, 227221, 6637795]
6048	fantasy	[]
6291	fantasy	[529576]
6294	fantasy	[31680137, 9223912, 6369955, 6955046, 2294528, 7882025, 5985499, 9530793, 16204601, 17157434, 15863391, 1951434]
6625	kresley-cole	[]
6628	humor	[828409, 676817, 7906060]
6659	rpg	[]
6970	romance	[]
7021	fantasy	[]
7022	fantasy	[15761419]
7023	fantasy	[]
7024	fantasy	[]
7026	fantasy	[]
7027	fantasy	[9023573]
7028	fantasy	[853345]
7029	fantasy	[]
7082	sci-fi	[80233, 1138883, 9725779, 7083, 612963, 516036, 8125853, 2410819, 6696927, 13644795, 13583873, 18214694, 21953896, 367304]
7083	sci-fi	[612963, 516036, 8125853, 2410819, 6696927, 13644795, 13583873, 18214694, 21953896, 367304]
7238	horror	[21337]
7263	urban-fantasy	[7304388]
7328	fantasy	[]
7329	fantasy	[16415846, 25033209, 357255, 877104, 6018112, 16127407, 54719, 20256736, 20206736]
7331	christmas	[]
7332	classics	[757679, 1072666, 13147624, 1661246, 15708993, 18335700, 18965]
7337	fantasy	[77686, 1236112]
7346	fantasy	[]
7347	fantasy	[9700346]
7349	fantasy	[120752, 11520555, 3324528, 8167434, 529015, 5898, 35, 4722059, 706457, 15350, 33, 827763, 6413483, 13510444, 13729429, 32, 15354]
7619	fantasy	[2813]
7733	classics	[]
7957	sci-fi	[444115, 40286]
7962	fantasy	[828134]
7968	fantasy	[556020]
7969	science-fiction	[]
7971	science-fiction	[]
7973	fantasy	[]
7974	fantasy	[]
7976	fantasy	[]
7979	fantasy	[]
7980	fantasy	[]
7981	fantasy	[1189227]
7983	fantasy	[815229]
7987	fantasy	[]
7989	cookbooks	[]
7992	fantasy	[]
7993	fantasy	[]
7994	fantasy	[1351883]
7996	fantasy	[24202406, 17270217, 281954, 1205572]
7997	fantasy	[1335377, 1335376]
7998	fantasy	[]
7999	fantasy	[]
8001	fantasy	[1190356]
8004	fantasy	[]
8084	fantasy	[10103367, 23377543]
8085	fantasy	[]
8087	fantasy	[]
8088	vampires	[]
8089	fantasy	[23518788]
8090	fantasy	[]
8091	fantasy	[]
8092	fantasy	[149346, 8941560]
8093	fantasy	[]
8178	fantasy	[25626493]
8699	humor	[13537367, 16173573, 16154799, 823662]
8705	fantasy	[286041, 32596063]
8706	science-fiction	[6492539, 10421640, 14, 8653023, 16, 79259, 13484271, 1110350, 81644, 35533631, 6691227, 11177547, 6315567, 10052680]
8709	humor	[8699, 13537367, 16173573, 16154799, 823662]
8908	apocalyptic	[]
8948	young-adult	[1712569, 2112755]
8949	fantasy	[]
8951	fantasy	[2500374, 7042624, 18366041]
8952	fantasy	[7042269]
8957	fantasy	[1199972, 6557936, 2408364, 156172, 19811819]
8960	fantasy	[8992, 23235265, 23441690]
8962	fantasy	[1066078, 2408129, 2488435, 738754, 6991473, 172257]
8963	young-adult	[7895500, 7037768, 23235330, 864799]
8965	fantasy	[1065971, 2408340, 861547, 8138512, 21938159, 23891453]
8966	fantasy	[7895532, 2455358, 17564830]
8967	fantasy	[]
8968	fantasy	[1019873, 2455245, 861546, 2892134]
8992	fantasy	[23235265, 23441690]
9325	manga	[1357876]
9326	manga	[]
9531	fantasy	[525752, 525751]
9534	sci-fi	[60824]
9539	fantasy	[893763, 20883776]
9542	fantasy	[1135162, 6437560]
9553	paranormal	[6583154]
9594	humor	[]
10084	fantasy	[]
10090	fantasy	[]
10092	fantasy	[]
10404	doctor-who	[]
10546	fantasy	[3375131]
10572	fantasy	[6584437, 7110077, 822995, 1067156, 6041689, 11059676, 11788811, 13328412, 374855, 17237886, 13097686, 12844597, 15870261, 15837753, 13330785, 13496327, 25482705, 27393118]
10607	horror	[15943780, 13547851, 13573618, 24845874]
10611	fantasy	[]
10626	horror	[1451097, 59219, 3872372, 18376908, 13573634, 6203341]
11127	fantasy	[11129, 3714997, 467157, 7973876, 53367, 6753727, 11136, 18769280, 11128, 1143954]
11128	fantasy	[1143954]
11129	fantasy	[3714997, 467157, 7973876, 53367, 6753727, 11136, 18769280, 11128, 1143954]
11136	fantasy	[18769280, 11128, 1143954]
11286	horror	[]
11290	horror	[]
11298	fantasy	[818111, 121945, 5225171, 9526286, 13497091, 20629795, 32615524, 22245874]
11306	fantasy	[]
11310	young-adult	[18240126, 2555131, 505050, 210329, 311479]
11311	fantasy	[]
11312	fantasy	[210331, 13321000, 17278239, 423120]
11313	fantasy	[222577, 8712817]
11315	fantasy	[222576]
11390	horror	[9727599, 628445, 1985144, 8429269, 15852314, 18305608]
11551	horror	[8310634, 12923448, 601978]
11553	horror	[]
11557	horror	[]
11590	horror	[]
11597	king	[]
11838	fantasy	[195816, 8581887]
11841	fantasy	[]
11843	fantasy	[10838718]
11901	horror	[9741768, 333716]
11915	paranormal	[6567982, 1004101, 619299, 6914102]
11916	urban-fantasy	[]
11918	urban-fantasy	[6567979, 11720315, 910153, 7811245, 7802883, 618203, 1133980]
11919	urban-fantasy	[6606371]
11920	urban-fantasy	[1401318, 125926, 13414805]
11921	urban-fantasy	[125925, 6914086]
11922	urban-fantasy	[7000524, 2588075, 6561976, 7839170, 6883096]
11924	fantasy	[]
11938	fantasy	[]
12017	sci-fi	[290574]
12067	fantasy	[]
12147	classics	[7639059, 8470277, 16644104, 22589085]
12148	classics	[12147, 7639059, 8470277, 16644104, 22589085]
12189	paranormal	[4969823, 16280069]
12444	sci-fi-fantasy	[]
12500	paranormal	[]
12879	paranormal	[]
12931	fantasy	[]
12967	fantasy	[]
13023	classics	[]
13026	classics	[24213, 24220, 24217, 1991559, 974530, 426792, 7181829, 9223017, 4971790, 13664833, 12197986, 15844279, 19286544, 26064782, 490973, 28190157, 5660772]
13139	young-adult	[6096507, 552889, 71629, 9720159, 552892, 25040374]
13152	young-adult	[552886, 10504079, 7048880]
13345	young-adult	[2254009, 2496546, 5602488, 21882134, 126431, 22396330]
13349	fantasy	[1393278, 65571, 559532, 289149]
13413	horror	[]
13444	horror	[1697752, 1141648, 201458, 10626, 1451097, 59219, 3872372, 18376908, 13573634, 6203341]
13496	sci-fi-fantasy	[4904283, 11059675, 15746849, 10888677, 11264999, 8897134, 8535693, 11788809, 13022238, 12844447, 16120725, 20873804, 27815370, 8523840]
13497	fantasy	[12887414, 13330774, 21528366, 23515461, 18626829, 34442625]
13499	epic-fantasy	[13355451, 13253102, 13330773, 17876028, 22747332, 24818851]
13501	fantasy	[147911, 11385887, 15852329, 22116832, 18266060, 27246838, 18660684]
13506	fantasy	[]
13521	fantasy	[6333923, 3287692, 5564879, 6251698]
13522	fantasy	[]
13549	manga	[]
13550	manga	[]
13551	manga	[]
13568	manga	[]
13569	manga	[]
13570	manga	[12667563]
13571	manga	[]
13573	manga	[]
13574	manga	[]
13575	manga	[]
13576	manga	[9684605]
13577	manga	[]
13578	manga	[]
13579	manga	[]
13580	manga	[]
13642	young-adult	[68035, 31373462]
13647	fantasy	[1889476, 6602649]
13654	fantasy	[7150209, 8138026, 9267582, 13544455, 13661]
13655	fantasy	[]
13658	fantasy	[12832537, 12376209, 6684240, 17978525, 13356693]
13659	fantasy	[6599838, 21457576]
13660	fantasy	[]
13661	fantasy	[]
13662	fantasy	[393259, 17214743, 13544424, 68054, 13655]
13664	fantasy	[]
13667	fantasy	[]
13671	fantasy	[77139, 2581040, 530758, 18755612, 776572, 1522701, 7150200, 13667]
13696	science-fiction	[906156, 626701]
13727	manga	[]
13728	manga	[]
13729	manga	[]
13730	manga	[]
13731	manga	[7759776, 20519864]
13733	manga	[7886054]
13735	manga	[]
13736	manga	[]
13737	fantasy	[]
13751	fantasy	[22886955, 3173564]
13759	fantasy	[6124254]
13806	fantasy	[3284050]
13807	fantasy	[]
13808	fantasy	[202246]
13809	fantasy	[]
13810	fantasy	[12348932, 1291706, 8436536]
13811	fantasy	[282557]
13812	epic-fantasy	[1432097, 7935521, 7818923]
13813	fantasy	[17186686, 827027]
13814	fantasy	[1017128, 1196298]
13815	fantasy	[773681]
13816	fantasy	[5552228]
13817	fantasy	[]
13818	fantasy	[827028]
13819	fantasy	[2255122]
13820	fantasy	[]
13821	fantasy	[]
13823	fantasy	[]
13829	fantasy	[153788, 3026425, 1140713, 6088145, 12515448]
13830	young-adult	[]
13831	fantasy	[8248439, 9394691, 444332, 1164671]
13833	fantasy	[7571551, 8142605]
13834	fantasy	[9866956, 7384850, 24885706]
13835	fantasy	[6319653, 8248438, 1068591]
13836	fantasy	[7796343, 24885730]
13837	fantasy	[]
13850	paranormal	[8738929]
