item_id	i_genre_c	r_sequel
205	mystery	[]
213	crime	[]
214	crime	[]
215	crime	[]
216	crime	[12405485]
431	mystery	[1357159, 11932248, 23253961, 433, 11051532, 19267840]
432	mystery	[1847846, 12636508, 1929898, 172823, 35658316, 1987753]
433	mystery	[11051532, 19267840]
434	mystery	[96061]
435	mystery	[]
436	mystery	[869628, 12828175, 2346257, 431, 1357159, 11932248, 23253961, 433, 11051532, 19267840]
539	mystery	[]
620	mystery	[12791647]
902	mystery	[]
915	thriller	[23007510]
925	thriller	[29263, 17381841, 22027353, 8273080, 9572260, 17817936, 22892551, 6485581]
960	mystery	[998880, 3324557, 873884, 10021132, 7995557, 3565315, 3565313, 7557392, 22855797, 11204368]
968	mystery	[4223, 969, 2928101, 2978791, 9711966, 6314618, 28894867]
969	mystery	[2928101, 2978791, 9711966, 6314618, 28894867]
976	thriller	[]
978	mystery	[]
987	mystery	[18806643]
988	thriller	[]
1059	thriller	[7039661, 10464126, 11362351, 6635921]
1110	john-grisham	[]
1849	nelson-demille	[1119774, 945093, 6491468]
2045	mystery	[]
2046	mystery	[]
2049	mystery	[12383700, 7484965, 9681806, 246991, 5338503, 25448781]
2050	mystery	[9077123, 5000026, 124196, 6654594, 9875382, 246979]
2051	mystery	[6642131]
2052	mystery	[4961196, 6612888, 5000024, 6283999, 105706, 16070404, 6051160, 12577977, 23125305, 11848797, 25021582]
2054	mystery	[12413560, 9663153, 2751098, 6146524, 247047, 132434, 6543756, 9911566, 31345330, 6563565, 448765]
2283	margaret-truman	[]
2285	mystery	[]
2373	mystery	[19729921]
2374	mystery	[95326, 13012592, 4914385, 30224088, 10198327, 13505965, 9646874, 6260623, 21841867, 2373, 19729921]
2423	steve-martini	[]
2425	mystery	[]
2427	mystery	[]
2431	steve-martini	[]
3117	adventure	[]
3119	adventure	[]
3120	adventure	[]
3367	mystery	[8238225]
3418	mystery	[]
3483	mystery	[]
3507	mystery	[849702, 849709, 7140129, 579703, 6473168, 18897531, 1100899, 840945]
3523	mystery	[12722792]
3581	classics	[]
3583	sherlock-holmes	[20748573]
3586	classics	[482060, 7014331, 17668221, 23229308]
3588	classics	[3417915, 121604, 201887, 4596924, 3353110, 4788505, 6833170, 8175086, 14448722, 12565039, 13606104, 13723150, 12320698, 22692089, 22676104, 34876489, 18626857, 20899335, 21198563, 22620243, 962730, 162847, 20802278, 1864118, 728308, 10064305]
3590	classics	[6216010, 4465, 3588, 3417915, 121604, 201887, 4596924, 3353110, 4788505, 6833170, 8175086, 14448722, 12565039, 13606104, 13723150, 12320698, 22692089, 22676104, 34876489, 18626857, 20899335, 21198563, 22620243, 962730, 162847, 20802278, 1864118, 728308, 10064305]
3594	sherlock-holmes	[4610128]
3597	my-ebooks	[]
3672	mystery	[13741981]
3750	james-bond	[19496, 3113048, 5894530, 17379070, 15954467, 24357523, 513967, 416004]
3757	james-bond	[18780375, 8604069, 7006041]
3758	thriller	[53944, 9770491, 998453, 885850, 3275750, 6646939, 9725769, 16109577, 15924401, 17284593, 15954464, 25330646, 5716980, 19050437, 5821]
3759	james-bond	[998456, 16110469, 16643903, 17622541, 15954473, 15924408, 6088919]
3760	james-bond	[177196, 891695, 3112984, 16110450, 16081850, 15954468, 15924404, 18799804, 3581911]
3761	james-bond	[6393451]
3762	james-bond	[177198, 2799311, 6588194, 15924418, 15924412, 17623599, 5716991]
3763	thriller	[5716989, 765469, 5894525]
3764	thriller	[117712, 4025, 2550342, 6433620, 7956022, 15924406, 17377384, 15954469]
3765	mystery-thriller	[2799310, 15924415, 17623732, 15954481, 18716161]
3815	mystery	[2360592, 6538855, 9498634]
3825	mystery	[1129373, 46018, 5642866]
3826	mystery	[15777299, 8067814, 1292241]
3827	mystery	[3414328, 12277748, 18813220]
3828	mystery	[638945]
3829	mysteries	[902764, 11079949, 20188664, 18667831]
3830	mystery	[15995476, 10090969]
3832	mystery	[]
3833	mystery	[13573667]
3976	mystery	[]
3978	horror	[1881562, 8150249]
4025	thriller	[2550342, 6433620, 7956022, 15924406, 17377384, 15954469]
4035	mystery	[]
4191	crime	[895584, 1134778]
4223	mystery	[969, 2928101, 2978791, 9711966, 6314618, 28894867]
4248	mystery	[4250, 333424, 2905882, 3324536, 8009222, 24341336, 7557451, 121122, 6557887, 1874912, 4928019, 2952620, 269831, 946168, 73797, 3406981, 2318863, 67556, 67557, 10349074, 2549362, 67555, 1833297, 240135, 2240092, 2643169, 968, 4223, 969, 2928101, 2978791, 9711966, 6314618, 28894867]
4250	mystery	[333424, 2905882, 3324536, 8009222, 24341336, 7557451, 121122, 6557887, 1874912, 4928019, 2952620, 269831, 946168, 73797, 3406981, 2318863, 67556, 67557, 10349074, 2549362, 67555, 1833297, 240135, 2240092, 2643169, 968, 4223, 969, 2928101, 2978791, 9711966, 6314618, 28894867]
4278	historical-fiction	[8489416, 2728224, 25539197, 11521329]
4280	historical-fiction	[2012992, 4278, 8489416, 2728224, 25539197, 11521329]
4331	dale-brown	[]
4465	classics	[3588, 3417915, 121604, 201887, 4596924, 3353110, 4788505, 6833170, 8175086, 14448722, 12565039, 13606104, 13723150, 12320698, 22692089, 22676104, 34876489, 18626857, 20899335, 21198563, 22620243, 962730, 162847, 20802278, 1864118, 728308, 10064305]
4680	mystery	[]
4681	mystery	[]
4682	mystery	[]
4683	mystery	[]
4684	mystery	[]
5171	mystery	[]
5345	grisham	[]
5346	john-grisham	[]
5348	john-grisham	[]
5349	thriller	[]
5350	john-grisham	[]
5351	john-grisham	[]
5352	john-grisham	[]
5354	john-grisham	[]
5355	john-grisham	[]
5356	john-grisham	[]
5358	thriller	[]
5359	john-grisham	[]
5575	james-patterson	[]
5720	thriller	[144348, 841719, 114108]
5743	mystery	[965376, 5691589, 8561290]
5821	thriller	[]
5890	classics	[]
5972	mystery	[22856066]
6138	classics	[]
6286	mystery	[]
6366	chick-lit	[]
6367	mystery	[]
6368	chick-lit	[]
6419	mystery	[1100902, 527787, 840969, 8181926, 7168589, 8811913]
6420	mystery	[482568, 918631]
6422	mystery	[6473165, 40351]
6423	mystery	[1873197, 527790, 6349538, 44620]
6424	mystery	[6490988, 6980233, 15459067]
6425	mystery	[707024, 3174609]
6426	janet-evanovich	[]
6427	mystery	[7074082, 2370138, 40342, 9692485, 8131208, 6324741, 685377, 147069]
6526	mystery	[3069335, 828609, 6994490]
6527	patricia-cornwell	[484947, 6543, 828552, 13000624, 2314017]
6528	mystery	[635261, 962922]
6530	thriller	[6540, 10236247, 18818726, 823005, 11600628]
6531	mystery	[11711519]
6534	mystery	[2661001, 521052, 4475747, 8238651, 11350736, 9471387, 9757174, 20651924]
6537	mystery	[6067038, 232137]
