item_id	i_genre_c	r_sequel
619	romance	[]
760	romance	[]
1431	novel	[53808, 859739, 6511944, 6538385, 27691736, 30368495, 6388433, 184302]
1627	short-stories	[1628, 830380]
1628	short-stories	[830380]
1885	classics	[]
1886	classics	[]
2156	classics	[]
3077	romance	[]
3412	historical-romance	[]
3462	nicholas-sparks	[]
3463	nicholas-sparks	[]
3464	romance	[82984, 5953332, 985962, 15956]
3466	romance	[3251429, 6525371, 18934594]
3473	drama	[]
3478	romance	[]
3479	romance	[]
3525	manga	[]
3530	manga	[]
3683	erotica	[12591144, 26582, 6992907]
3849	fern-michaels	[]
3851	romance	[]
3852	lora-leigh	[]
4486	chick-lit	[156658, 578596, 533744, 829236, 7800663]
5196	chick-lit	[]
5526	romance	[]
5932	classics	[]
6185	classics	[]
6366	chick-lit	[]
6367	mystery	[]
6368	chick-lit	[]
6625	kresley-cole	[3324807]
6855	romance	[]
6969	classics	[]
6970	romance	[]
7186	classics	[]
7494	romance	[]
7505	luanne-rice	[]
8084	fantasy	[10103367, 11007108, 23377543, 23385385]
8164	barbara-taylor-bradford	[]
8632	historical-romance	[]
9106	mystery	[3062847, 6958381, 10459202]
9282	romance	[]
9298	chick-lit	[]
9299	chick-lit	[]
9300	chick-lit	[761672, 10175339]
9301	chick-lit	[]
9303	chick-lit	[]
9416	sophie-kinsella	[736396, 227650, 2523207, 2574859, 15748725, 15835017, 1479254, 2523206, 164915]
9418	chick-lit	[1389855, 879731, 9422, 6271766, 19813505]
9419	chick-lit	[2771186, 13480695, 765363, 6175233, 956995]
9420	chick-lit	[7039682, 817581, 9696245, 1482384, 24549210, 1245994]
9422	chick-lit	[6271766, 19813505]
9423	sophie-kinsella	[5399816, 6458394, 9416, 736396, 227650, 2523207, 2574859, 15748725, 15835017, 1479254, 2523206, 164915]
9488	paranormal-romance	[6567284, 8712348, 7687631, 6586850, 7883134, 10101915]
9489	historical-romance	[]
9497	linda-lael-miller	[]
9538	romance	[847936]
9553	paranormal	[6583154]
9764	romance	[]
9987	japanese	[818108, 8196252, 12645888, 10264635, 17402743, 7741999, 2524364, 3240097, 3421809, 10396221, 5803355, 1034721, 13554784, 11759492, 13510614, 16053157, 9123099, 9858734, 231031, 9651654, 10229543, 13059085, 17661238, 21411194]
10321	christian	[]
10896	cecelia-ahern	[]
10965	diana-gabaldon	[]
11101	romance	[]
11184	historical-romance	[]
11297	japanese	[234716, 9987, 818108, 8196252, 12645888, 10264635, 17402743, 7741999, 2524364, 3240097, 3421809, 10396221, 5803355, 1034721, 13554784, 11759492, 13510614, 16053157, 9123099, 9858734, 231031, 9651654, 10229543, 13059085, 17661238, 21411194]
11339	classics	[]
12123	romance	[]
12189	paranormal	[]
12495	romance	[]
12500	paranormal	[]
12879	paranormal	[]
13365	historical-romance	[]
13638	manga	[282425, 11391572, 19484897]
13783	manga	[]
13784	manga	[]
13785	manga	[]
13786	manga	[]
13796	manga	[]
13798	manga	[]
13799	manga	[]
13850	paranormal	[31806921]
14051	romance	[]
14114	manga	[]
14115	manga	[]
14242	historical-romance	[]
14243	historical-romance	[12253795]
14383	paranormal-romance	[]
14384	paranormal-romance	[7005980, 9720010, 9998097, 9674479, 25380932]
14385	historical-romance	[10922606, 20957461]
14386	historical-romance	[]
14748	chick-lit	[]
14788	romance	[10256555, 11168461]
14798	romance	[]
14905	romance	[]
15105	romance	[11282443, 9859176, 9692977, 11459926, 321574, 6611515, 1600703]
