item_id	i_genre_c	r_sequel
50	young-adult	[69940, 69936, 8134703]
2811	young-adult	[11922217]
2913	young-adult	[]
2915	young-adult	[727157, 12093572]
3298	fantasy	[6363848, 16526, 1574651, 17377402]
3303	fantasy	[16529, 16533, 6294280]
3304	fantasy	[23516045, 7120584, 13179413, 67660]
3467	young-adult	[]
4325	young-adult	[]
4579	science-fiction	[9567353]
4580	science-fiction	[]
5148	classics	[]
5451	young-adult	[]
5452	young-adult	[364640, 264061]
5453	chick-lit	[853136, 10325884, 1634257, 6871030]
5454	young-adult	[1475106, 1618353, 72027, 855843, 5456, 855844]
5456	young-adult	[855844]
6835	young-adult	[]
8137	young-adult	[6616668, 23949606, 9783811]
8486	young-adult	[6074755, 207034]
8948	young-adult	[1712569, 216064, 2112755]
8949	fantasy	[]
8951	fantasy	[3788161, 18366041]
8952	fantasy	[1066067]
8953	young-adult	[]
8957	fantasy	[2408364, 156172]
8960	fantasy	[8992, 2455194, 861548, 8777595]
8962	fantasy	[1066078, 6557962, 2488435, 738754, 6991473, 17904454, 172257, 23890740]
8963	young-adult	[23235330]
8965	fantasy	[1065971, 6557947, 861547]
8966	fantasy	[1296755]
8967	fantasy	[]
8968	fantasy	[5985405, 2455245, 2892134, 9431289]
8992	fantasy	[2455194, 861548, 8777595]
8995	vampires	[7635409, 18194538]
10050	young-adult	[1167920, 5645639]
10074	young-adult	[7649650, 11274035, 11476291, 18116, 45486, 12904105, 45484, 289113]
10570	young-adult	[586661, 1652821]
11492	christian	[]
11823	young-adult	[]
11831	young-adult	[1442628]
12125	young-adult	[233333, 12343682, 18344141]
12930	young-adult	[916877, 16181432, 13450968, 884361]
13083	young-adult	[]
13139	young-adult	[6096507, 8468228, 552889, 71629, 21800998]
13152	young-adult	[6885957, 552886, 3236549, 21446, 11223346]
13345	young-adult	[2254009, 5602488, 21882134, 126431, 22396330]
13376	young-adult	[8352767, 18480310, 15750137]
13377	young-adult	[13376, 8352767, 18480310, 15750137]
13647	fantasy	[854855, 10064872, 1889476]
13648	young-adult	[]
13829	fantasy	[153788]
13830	young-adult	[]
13831	fantasy	[7338506, 9394691, 444332]
13833	fantasy	[8142605, 9022230]
13835	fantasy	[8248438, 9821781, 1068591]
13836	fantasy	[]
13837	fantasy	[]
14358	young-adult	[3017901, 19386875]
14359	young-adult	[14358, 3017901, 19386875]
14544	horror	[1777345]
14562	young-adult	[]
14565	young-adult	[]
15678	young-adult	[]
16178	young-adult	[736311, 578029, 7140292]
16526	fantasy	[1574651, 17377402]
16529	fantasy	[16533, 6294280]
16533	fantasy	[6294280]
17020	young-adult	[18846813]
17162	young-adult	[415001]
17567	classics	[18888864]
18116	young-adult	[45486, 12904105, 45484, 289113]
18119	young-adult	[77473, 24963098, 563765]
18392	young-adult	[24469717, 9783478, 1190505, 1189515]
18579	historical-fiction	[415274]
18580	historical-fiction	[597953, 18579, 415274]
19057	young-adult	[]
19062	young-adult	[16094401, 17307706, 18134519, 20620100, 23942249]
19065	young-adult	[23636086, 23943343]
19066	young-adult	[6470337, 17159230, 18523397, 23636078]
19439	young-adult	[2945475]
19448	young-adult	[1311239, 6571582]
19452	young-adult	[3140468, 1234975, 331877]
19469	young-adult	[13536360, 830638]
20071	young-adult	[]
21088	american-girl	[]
21186	young-adult	[]
21194	young-adult	[308858]
21446	young-adult	[11223346]
22186	young-adult	[]
22187	young-adult	[]
22188	young-adult	[2448800, 8117666, 19742774, 1655536, 47926, 6367280]
22189	young-adult	[6441468]
22191	young-adult	[]
22192	chick-lit	[6405917, 405196]
22193	young-adult	[]
22205	young-adult	[]
22230	young-adult	[1100511, 607412, 17932971, 883066, 1165115, 201905, 13609248]
22232	young-adult	[22230, 1100511, 607412, 17932971, 883066, 1165115, 201905, 13609248]
22237	young-adult	[]
22238	young-adult	[]
22628	young-adult	[]
23218	young-adult	[1924394, 969429, 5807250]
23221	young-adult	[]
23222	young-adult	[]
23224	young-adult	[234893, 6571580, 10137716]
23225	young-adult	[]
23228	young-adult	[]
23230	young-adult	[]
23232	young-adult	[]
23242	young-adult	[5997608]
24093	fantasy	[]
24094	fantasy	[7123950, 8248444]
24431	fantasy	[767580, 967648, 546114, 14288612]
24434	young-adult	[]
24764	young-adult	[]
24765	young-adult	[590139, 7843321, 1151552, 12063240, 7919125, 9815655, 9815653, 13617344, 15931642]
24766	young-adult	[6712317, 7289879, 590128, 9842956]
24767	young-adult	[6386667, 7989399]
24768	young-adult	[267008, 9815327, 9815328, 15058657, 21412526, 6479286]
24769	young-adult	[10160762, 9720000, 10323629]
24770	young-adult	[2418113, 862160, 7078091, 240136, 6875163, 2790831, 9370793, 6586540, 16078585, 13581049, 13086115]
24883	science-fiction	[]
24899	science-fiction	[762186]
25373	young-adult	[]
26207	young-adult	[2419621]
26210	young-adult	[]
26212	young-adult	[704039]
28104	young-adult	[]
28105	young-adult	[]
28106	young-adult	[3986864]
28109	young-adult	[]
28185	fantasy	[7987206, 1581365, 6508005, 8126116, 7662175, 8267049, 15995188, 22449288]
28187	fantasy	[893172, 7581796, 6935607, 6692896, 9692846, 7816926, 18190302, 22456224, 7848832, 7848833, 2167829]
28194	young-adult	[6056091, 6178576, 292110]
30183	young-adult	[]
30324	young-adult	[]
30329	fantasy	[592783]
30331	young-adult	[]
30332	fantasy	[592784]
30333	fantasy	[8450169]
30334	fantasy	[395604, 7042611]
30335	vampires	[]
30336	young-adult	[]
30337	young-adult	[]
30338	fantasy	[3785250]
31185	young-adult	[465158]
32243	sweet-valley	[]
32317	young-adult	[]
32638	young-adult	[]
33569	young-adult	[]
33676	young-adult	[6992331, 895072, 6256451, 20243078, 955157, 828623]
33906	young-adult	[]
33956	young-adult	[831979, 2617075, 298567, 4617371, 16088324, 6116440, 4779934, 11791890]
34814	young-adult	[]
35347	young-adult	[]
35359	young-adult	[3240515, 23489098]
37234	fantasy	[]
37240	young-adult	[23168828]
37450	young-adult	[7112568]
37451	chick-lit	[47923, 3142268, 1603066, 1926122]
