user_id,item_id,time,item_series_id
189013,394,200301,Series_MAL53_P2
39101,16355,201301,SB16355
67426,28891,201501,Series_MAL20583_P2
198610,1690,200701,SB1690
85396,13479,201201,Series_SS12431_P1
157648,11617,201201,Series_MAL11617_P1
230905,2508,200701,Series_MAL240_P3
214660,9355,201001,Series_SS5277_P1
171011,1577,199401,Series_MAL1577_P1
188524,38234,201901,Series_SS21_P1
171455,836,200101,Series_MAL836_P1
285379,30206,201501,Series_MAL22147_P2
278309,38101,201901,Series_MAL38101_P1
295220,33095,201701,Series_MAL28735_P2
76116,33489,201701,Series_SS14349_P1
112654,10937,201501,Series_SS80_P1
180154,35982,201701,Series_MAL19319_P2
144827,87,198801,Series_MAL80_P4
190809,31630,201601,Series_MAL31630_P1
60835,880,200601,Series_MAL50_P2
52233,24703,201501,Series_MAL11617_P5
262899,9708,200901,Series_SS86_P1
31619,20815,201401,Series_SS20371_P1
27647,4406,197401,Series_SS2253_P1
125200,24439,201501,Series_MAL24439_P1
188434,12049,201201,Series_MAL17535_P2
273339,36371,201901,Series_MAL31433_P4
259574,883,199401,Series_SS392_P1
240376,645,200401,Series_MAL135_P2
189036,40909,201901,Series_MAL37937_P3
99623,2129,200801,Series_MAL2129_P1
219053,38789,201801,Series_MAL38061_P2
59058,19099,201301,Series_MAL19099_P1
83436,2100,199201,Series_MAL2099_P2
215163,34299,201701,Series_MAL2961_P9
130164,1067,200601,Series_SS766_P1
269782,33566,201601,Series_MAL287_P2
187325,5630,200901,Series_MAL5630_P1
193414,1534,200601,Series_MAL1534_P1
210370,4476,200201,Series_MAL484_P2
56603,33758,201601,Series_MAL33758_P1
103674,903,199401,Series_MAL901_P2
153874,2654,200101,Series_SS2471_P1
175588,7081,201101,Series_MAL7081_P1
65403,16982,201301,Series_MAL2026_P6
308882,36483,201901,Series_MAL33046_P2
84335,3292,200701,Series_SS2744_P1
25583,13245,201201,Series_SS11371_P1
213174,147,200301,Series_SS3318_P1
66252,2593,200701,Series_MAL2593_P1
291001,654,200301,Series_SS653_P1
275980,5845,200401,Series_SS1564_P1
297128,16662,201301,SB16662
10814,30415,201501,Series_MAL30415_P1
188681,7333,200701,Series_MAL1578_P3
295907,723,199201,Series_MAL723_P1
256764,255,200301,Series_MAL253_P3
73104,35203,201701,Series_MAL35203_P1
11654,25283,201501,Series_MAL25283_P1
277300,9389,198501,Series_SS2987_P1
280494,2734,200301,Series_MAL1064_P2
78794,7528,195212,Series_SS30176_P1
283333,23225,201501,Series_MAL10495_P3
103676,33036,201601,Series_MAL31245_P2
133674,4654,200801,Series_MAL4654_P1
65729,1694,200701,Series_SS10278_P1
57083,11757,201201,Series_MAL11757_P1
110971,32574,201601,Series_SS24439_P1
288579,6862,201001,Series_SS5680_P1
234109,18881,201001,Series_SS8728_P1
71584,37078,201801,Series_MAL40080_P3
374,23289,201401,SB23289
232991,35501,201401,Series_MAL32316_P2
22135,41168,202001,SB41168
221375,21667,201401,Series_SS17549_P1
83505,32,199701,Series_MAL30_P2
219890,1696,200701,SB1696
140951,10936,201201,Series_SS9934_P1
227901,32802,201601,Series_MAL9539_P7
280349,19285,201301,Series_SS23775_P1
100346,2593,200701,Series_MAL2593_P1
262958,1252,199101,Series_MAL1251_P2
306887,10588,201101,Series_MAL10588_P1
290894,8438,201001,Series_SS1565_P1
126842,36800,201801,Series_MAL31771_P2
37396,30840,201101,Series_SS2302_P1
214959,512,198901,SB512
122061,2209,999999,Series_SS1183_P1
152388,9515,201101,Series_SS8074_P1
182433,7375,200901,Series_MAL1066_P3
197657,32105,201601,SB32105
168994,33489,201701,Series_SS14349_P1
204676,6574,201001,Series_SS16648_P1
306892,4999,200901,SB4999
261449,37450,201801,Series_MAL37450_P1
212909,7724,201001,SB7724
129628,2253,197201,Series_MAL2253_P1
280879,1818,200701,SB1818
286974,36160,201701,Series_MAL29089_P2
103886,3002,200701,Series_MAL3002_P1
231475,34540,201701,Series_MAL34540_P1
64289,38297,201901,Series_MAL38297_P1
27356,5356,200901,SB5356
229228,13377,201201,Series_MAL11491_P2
235068,16067,201301,SB16067
123784,6555,200901,Series_SS1565_P1
300207,3468,200401,Series_SS158_P1
165928,37965,201801,SB37965
76293,372,200001,Series_MAL232_P2
98754,10087,201101,Series_MAL10087_P1
97705,38217,201801,Series_MAL38217_P1
110885,12685,201201,SB12685
45565,2630,198201,Series_SS2471_P1
70636,1729,200601,Series_MAL158_P3
72319,5341,200901,Series_MAL2966_P3
99667,10611,201101,Series_MAL10611_P1
123629,15037,201301,Series_MAL13807_P2
259234,8363,200301,Series_SS966_P1
108829,19369,201301,SB19369
49330,12187,201101,Series_SS10012_P1
