user_id,item_id,time,item_series_id
0,46,978824351,SB46
0,1281,978824330,SB1281
0,1540,978824330,SB1540
0,1948,978824291,SB1948
0,1890,978824291,SB1890
0,657,978824291,SB657
0,534,978824268,SB534
0,2247,978824268,SB2247
0,630,978824268,SB630
0,528,978824268,SB528
0,0,978824268,Series 39_P1
0,478,978824195,SB478
0,1266,978824139,SB1266
0,1990,978302281,SB1990
0,973,978302268,SB973
0,533,978302268,SB533
0,1914,978302205,SB1914
0,848,978302205,SB848
0,2344,978302188,Series 61_P1
0,2628,978302174,Series 39_P2
1,1385,978300174,SB1385
1,389,978300174,SB389
1,1265,978300174,SB1265
1,1548,978300174,SB1548
1,87,978300143,SB87
1,1750,978300123,SB1750
1,261,978300123,SB261
1,625,978300100,SB625
1,1632,978300100,Series 14_P3
1,2744,978300073,SB2744
1,2192,978300051,SB2192
1,1388,978300051,SB1388
1,396,978300025,SB396
1,1307,978300025,SB1307
1,2421,978300002,SB2421
1,2621,978300002,SB2621
1,334,978300002,SB334
1,1459,978300002,SB1459
1,141,978300002,SB141
1,413,978300002,SB413
2,1705,978298504,SB1705
2,95,978298486,SB95
2,3290,978298486,Series 70_P1
2,3001,978298459,SB3001
2,1342,978298430,SB1342
2,1948,978298430,SB1948
2,1039,978298316,SB1039
2,885,978298296,SB885
2,1033,978298296,SB1033
2,1044,978298231,Series 25_P1
2,3058,978298201,SB3058
2,1078,978298166,SB1078
2,2882,978298147,SB2882
2,1153,978298147,SB1153
2,2523,978298147,SB2523
2,2628,978298103,Series 39_P2
2,932,978298079,SB932
2,570,978297867,Series 43_P1
2,2293,978297867,SB2293
2,501,978297837,SB501
3,2484,978294282,SB2484
3,855,978294282,Series 7_P1
3,1584,978294282,Series 28_P1
3,990,978294260,SB99
3,2879,978294260,SB2879
3,3135,978294260,Series 71_P1
3,1014,978294260,Series 81_P1
3,1658,978294230,SB1658
3,1959,978294230,Series 85_P1
3,977,978294230,SB977
3,2252,978294230,SB2252
3,2480,978294230,SB2480
3,232,978294199,SB232
3,972,978294199,SB972
3,974,978294199,SB974
3,1146,978294199,Series 10_P1
3,2925,978294008,SB2925
3,434,978294008,SB434
3,2979,978294008,Series 77_P1
3,903,978293964,SB903
4,257,978246585,SB257
4,1221,978246576,SB1221
4,2619,978246576,SB2619
4,1520,978246576,SB1520
4,1659,978246555,SB1659
4,201,978246528,SB201
4,500,978246504,SB500
4,319,978246504,SB319
4,1541,978246479,SB1541
4,49,978246479,SB49
4,1254,978246479,SB1254
4,2019,978246450,SB2019
4,1417,978246450,SB1417
4,968,978246426,SB968
4,1531,978246426,SB1531
4,2597,978246162,SB2597
4,1552,978246162,SB1552
4,2283,978246162,SB2283
4,2753,978246162,SB2753
4,1381,978246108,SB1381
5,536,978239019,SB536
5,1283,978238948,SB1283
5,750,978238851,SB750
5,3150,978238371,SB3150
5,3011,978238288,SB3011
5,3063,978238256,SB3063
5,2987,978238230,SB2987
5,2870,978238230,SB2870
5,3023,978238195,SB3023
5,3184,978238195,SB3184
5,2592,978238036,SB2592
5,2962,978238036,SB2962
5,3116,978238036,SB3116
5,826,978238036,SB826
5,334,978237909,SB334
5,348,978237909,SB348
5,238,978237909,SB238
5,3041,978237813,SB3041
5,1647,978237813,SB1647
5,3049,978237813,SB3049
6,2621,978234898,SB2621
6,706,978234874,Series 75_P1
6,1946,978234874,SB1946
6,345,978234874,SB345
6,1287,978234874,SB1287
6,1408,978234874,SB1408
6,2743,978234874,SB2743
6,315,978234874,SB315
6,2451,978234842,SB2451
6,5,978234842,SB5
6,623,978234842,SB623
6,428,978234842,SB428
6,1290,978234842,SB1290
6,342,978234810,Series 73_P1
6,2879,978234810,SB2879
6,1319,978234786,SB1319
6,529,978234786,Series 81_P2
6,2147,978234786,SB2147
6,411,978234786,SB411
6,99,978234786,SB99
7,2744,978247143,SB2744
7,627,978233526,SB627
7,0,978233496,Series 39_P1
7,2713,978233462,Series 8_P3
7,1048,978233462,SB1048
7,40,978232754,SB40
7,2954,978232754,SB2954
7,2665,978232231,SB2665
7,3,978232203,SB3
7,846,978232203,SB846
7,463,978232056,SB463
7,96,978232056,SB96
7,1908,978232056,SB1908
7,1459,978232056,SB1459
7,2680,978232012,SB2680
7,2886,978231982,SB2886
7,1224,978231982,SB1224
7,2021,978231890,Series 107_P2
7,1400,978231890,SB1400
7,1653,978231802,Series 51_P3
8,333,978226678,SB333
8,1890,978226678,SB1890
8,706,978226665,Series 75_P1
8,1875,978226665,SB1875
8,1121,978226644,Series 102_P7
8,1353,978226619,SB1353
8,477,978226599,SB477
8,15,978226599,SB15
8,383,978226580,SB383
8,670,978226564,SB670
8,480,978226564,SB480
8,315,978226564,SB315
8,1868,978226495,SB1868
8,691,978226495,SB691
8,536,978226473,SB536
8,1898,978226463,SB1898
8,434,978226448,SB434
8,2757,978226448,SB2757
8,530,978226434,SB530
8,1552,978226368,SB1552
9,1855,980638688,SB1855
9,2253,980638633,SB2253
9,997,980638633,Series 51_P2
9,1057,980638614,SB1057
