,identifier,scroll_id,panel_id,animal_label,myth_label,tree_label,image_path,text
0,scroll_001-pulin-panel_01,1_1,1,1,1,0,/workspace/folk/all_data/s1_1/img/s1.jpg,"Hail Durga, Ma Tara, destroyer of sorrows. Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains). As Ma Chandi, her ten arms stretch in ten directions. Her third eye shines brightly in the middle of her forehead. Lakshmi, with Saraswati on her left, Kartik and Ganesh Along with the lion, the Asura, Joya and Bijoya accompany the Mother."
1,scroll_001-pulin-panel_02,1_1,2,0,1,1,/workspace/folk/all_data/s1_1/img/s2.jpg,"One day, the goddess Durga bestowed her grace And revealed a cache of precious gems in a pomegranate grove. Kalketu found the treasure under the pomegranate tree (With this) he cleared the forest named Gujarat and established a town. Two more pots of gems remained. Which Kalketu filled into jars. Sealing them carefully, he carried the jars home Where the beautiful Khullona (Phullora) waited at the doorway of her thatched hut For twelve years, the ascetic had been languishing in jail. Meanwhile, Khullona had given birth to (their son) Srimonto Srimonto grew up to be a bright young man And wished to go out in search of his father. “You are my only son, the light of my life,” (cried Khullona) “If you leave for even a moment, I shall feel abandoned. “ But, if you must go, do pray to Durga.” On being invoked, Chandi (Durga) appeared And Khullona handed over Srimonto to the goddess."
2,scroll_001-pulin-panel_03,1_1,3,0,1,0,/workspace/folk/all_data/s1_1/img/s3.jpg,"Shouting “Hail Durga,” Srimonto boarded the boat And the boatmen set sail. They were sailing peacefully over the waters When at Magora, struck by misfortune, they were caught in a terrible storm. (And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus. She was the mother of Ganesh, swallowing an elephant. Srimonto, moved by this wondrous sight Bowed and offered his salutations a million times."
3,scroll_001-pulin-panel_04,1_1,4,0,0,0,/workspace/folk/all_data/s1_1/img/s4.jpg,"Finally, the boat docked at Ratnamala quay to the sound of kettledrums. Seeing them, the guards and wardens of the kingdom whispered among themselves. It seemed as if everyone was looting the kingdom And the king was kept totally in the dark."
4,scroll_001-pulin-panel_05,1_1,5,0,0,0,/workspace/folk/all_data/s1_1/img/s5.jpg,"The king Shalbahon was seated on a jewelled throne. Srimonto stood before him with folded hands And said, “In your kingdom, O king, resides Kamal Kamini. “I witnessed this woman swallowing an elephant.” The king ordered Srimonto to show him this sight. And promised him half of his kingdom and his daughter’s hand in marriage in return. But if Srimonto failed to show him the scene, the king warned He would be beheaded at the execution ground in the south."
5,scroll_001-pulin-panel_06,1_1,6,0,1,0,/workspace/folk/all_data/s1_1/img/s6.jpg,"The king travelled to Kalidaho to see Kamal Kamini. But to Srimonto’s embarrassment, the vision did not appear. The goddess Bhagoboti stayed hidden among the lotuses. Wishing to upset Srimonto, she did not reveal herself."
6,scroll_001-pulin-panel_07,1_1,7,1,0,1,/workspace/folk/all_data/s1_1/img/s7.jpg,"The enraged king summoned the warden and had Srimonto chained. Bound in chains and in pain, Srimonto started weeping. And as he wept, he invoked Durga “Oh Shankari,” he cried, “I shall die, but you seem to be unconcerned “That your name, Trailokyotarini will be tarnished.” Chandi, who in the form of a kite, was flying in the sky (heard his prayer). She assumed the garb of an aged Brahmin woman and appeared before Srimonto."
7,scroll_001-pulin-panel_08,1_1,8,0,1,0,/workspace/folk/all_data/s1_1/img/s8.jpg,"His chains fell away from him And a tearful Srimonto cried out in relief. With her eighteen arms Mother (Chandi) stood before him at the execution ground. “Whose home have you visited, Ma? Who worshipped you? “My life has become worthwhile, Mother, having seen your eighteen arms.”"
8,scroll_001-pulin-panel_09,1_1,9,0,0,0,/workspace/folk/all_data/s1_1/img/s9.jpg,"“I hereby grant you a boon, Srimonto”, (Durga replied) “You shall go and marry the daughter of King Shalbahon.” Thus, Srimonto married the princess Sushila."
9,scroll_001-pulin-panel_10,1_1,10,0,0,0,/workspace/folk/all_data/s1_1/img/s10.jpg,"After the wedding, Srimonto returned home"
10,scroll_001-pulin-panel_11,1_1,11,1,0,0,/workspace/folk/all_data/s1_1/img/s11.jpg,Where Khullona was herding goats in the forest of Aruna. Srimonto (also) rescued his father and brought him home.
11,scroll_001-pulin-panel_12,1_1,12,1,1,0,/workspace/folk/all_data/s1_1/img/s12.jpg,"And installing the sacred water pot, introduced the custom of Durga Puja (worship). Garlanded with hibiscus and jasmine Shankar Bhabani (Durga) seemed to beckon from afar.  And here ends my recitation. I, the writer, am Bahar Chitrakar of Medinipur. Ah, Medinipur is where I live."
12,scroll_002-seramuddin-panel_01,1_2,1,1,1,0,/workspace/folk/all_data/s1_2/img/s1.jpg,"Hail Durga, Ma Tara, destroyer of sorrows. Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains). As Ma Chandi, her ten arms stretch in ten directions. Her third eye shines brightly in the middle of her forehead. Lakshmi, with Saraswati on her left, Kartik and Ganesh Along with the lion, the Asura, Joya and Bijoya accompany the Mother."
