item_id,item_series_id,series_id,position_in_series,positional_embedding
219,Series 21_P6,Series 21,6,"[-0.27941549819892586, 0.960170286650366, -0.8465089407006715, -0.5323745047556532, 0.2665503390962875, -0.9638209982811404, 0.9147165515888195, -0.4040960656198702, 0.9807996765126408, 0.19501793392582947, 0.8139595546651819, 0.5809215466560513, 0.6114461657843836, 0.7912860332064354, 0.43959394476466146, 0.8981966175210435, 0.3097066295020911, 0.9508321637610154, 0.2161278485164817, 0.9763650716282495, 0.15014327199094757, 0.9886642493161429, 0.104079221713771, 0.9945690099774152, 0.0720733215222174, 0.9973993364368933, 0.04988511300799761, 0.9987549626911394, 0.03451953699049349, 0.9994040231888013, 0.02388415885156883, 0.9997147327892858, 0.01652462008369193, 0.9998634591438421, 0.011432515250257645, 0.9999346466619969, 0.00790945796036092, 0.9999687197481596, 0.005472037727383642, 0.999985028289479, 0.003785735024096485, 0.9999928340794885, 0.0026190919990924473, 0.9999965701726683, 0.0018119700407190392, 0.9999983583809383, 0.001253577350188547, 0.9999992142716049, 0.000867263753729299, 0.99999962392672]"
309,Series 22_P1,Series 22,1,"[0.8414709848078965, 0.5403023058681398, 0.6379482434770828, 0.770079241795612, 0.4605636414688446, 0.8876266851311747, 0.32511290968878426, 0.9456752063756839, 0.22708824263167696, 0.9738741859493231, 0.1578266401303058, 0.987466835729271, 0.1094282421945247, 0.9939946980795302, 0.07578502579373089, 0.9971241797617003, 0.0524566586794737, 0.998623201693304, 0.036299828834586045, 0.999340944035908, 0.025116222909773774, 0.9996845379152098, 0.017377133621600687, 0.9998490062139868, 0.012022354714795905, 0.9999277288819985, 0.008317541804702242, 0.9999654086508828, 0.005754367615745513, 0.9999834434896124, 0.003981061189587565, 0.9999920755445039, 0.002754225221179269, 0.9999962071145225, 0.0019054595649118375, 0.9999981846102755, 0.0013182563567451652, 0.9999991310997115, 0.0009120107129263191, 0.9999995841181433, 0.0006309573026154199, 0.9999998009464214, 0.0004365158183774367, 0.9999999047269656, 0.0003019951674498205, 0.9999999543994583, 0.00020892961156538582, 0.9999999781742085, 0.00014454397657126753, 0.9999999895535193]"
124,Series 10_P1,Series 10,1,"[0.8414709848078965, 0.5403023058681398, 0.6379482434770828, 0.770079241795612, 0.4605636414688446, 0.8876266851311747, 0.32511290968878426, 0.9456752063756839, 0.22708824263167696, 0.9738741859493231, 0.1578266401303058, 0.987466835729271, 0.1094282421945247, 0.9939946980795302, 0.07578502579373089, 0.9971241797617003, 0.0524566586794737, 0.998623201693304, 0.036299828834586045, 0.999340944035908, 0.025116222909773774, 0.9996845379152098, 0.017377133621600687, 0.9998490062139868, 0.012022354714795905, 0.9999277288819985, 0.008317541804702242, 0.9999654086508828, 0.005754367615745513, 0.9999834434896124, 0.003981061189587565, 0.9999920755445039, 0.002754225221179269, 0.9999962071145225, 0.0019054595649118375, 0.9999981846102755, 0.0013182563567451652, 0.9999991310997115, 0.0009120107129263191, 0.9999995841181433, 0.0006309573026154199, 0.9999998009464214, 0.0004365158183774367, 0.9999999047269656, 0.0003019951674498205, 0.9999999543994583, 0.00020892961156538582, 0.9999999781742085, 0.00014454397657126753, 0.9999999895535193]"
347,Series 9_P2,Series 9,2,"[0.9092974268256817, -0.4161468365471424, 0.9825413992833488, 0.18604407728900943, 0.8176171567378667, 0.5757622643139151, 0.6149024359306803, 0.7886031919073848, 0.4423107548631735, 0.8968618601169133, 0.3116971458465109, 0.9501815033303579, 0.21754218512304058, 0.9760509196204329, 0.1511341633655864, 0.9885132597308871, 0.10476887288125773, 0.9944965979203704, 0.07255181043179418, 0.9973646448531596, 0.050216599387465206, 0.9987383506934931, 0.03474901956481021, 0.9993960704541941, 0.024042971691559313, 0.9997109259742233, 0.016634508179419756, 0.9998616369966541, 0.011508544686996618, 0.9999337745066857, 0.007962059283690683, 0.9999683023036096, 0.005508429549436851, 0.999984828486862, 0.003810912211520246, 0.999992738447693, 0.002636510422623673, 0.9999965244003558, 0.0018240206672752207, 0.999998336472919, 0.0012619143540422218, 0.9999992037857646, 0.0008730315535785002, 0.9999996189078806, 0.0006039903073573545, 0.9999998175978376, 0.00041785921401066333, 0.9999999126968349, 0.0002890879501225833, 0.9999999582140777]"
358,Series 17_P2,Series 17,2,"[0.9092974268256817, -0.4161468365471424, 0.9825413992833488, 0.18604407728900943, 0.8176171567378667, 0.5757622643139151, 0.6149024359306803, 0.7886031919073848, 0.4423107548631735, 0.8968618601169133, 0.3116971458465109, 0.9501815033303579, 0.21754218512304058, 0.9760509196204329, 0.1511341633655864, 0.9885132597308871, 0.10476887288125773, 0.9944965979203704, 0.07255181043179418, 0.9973646448531596, 0.050216599387465206, 0.9987383506934931, 0.03474901956481021, 0.9993960704541941, 0.024042971691559313, 0.9997109259742233, 0.016634508179419756, 0.9998616369966541, 0.011508544686996618, 0.9999337745066857, 0.007962059283690683, 0.9999683023036096, 0.005508429549436851, 0.999984828486862, 0.003810912211520246, 0.999992738447693, 0.002636510422623673, 0.9999965244003558, 0.0018240206672752207, 0.999998336472919, 0.0012619143540422218, 0.9999992037857646, 0.0008730315535785002, 0.9999996189078806, 0.0006039903073573545, 0.9999998175978376, 0.00041785921401066333, 0.9999999126968349, 0.0002890879501225833, 0.9999999582140777]"
356,Series 23_P1,Series 23,1,"[0.8414709848078965, 0.5403023058681398, 0.6379482434770828, 0.770079241795612, 0.4605636414688446, 0.8876266851311747, 0.32511290968878426, 0.9456752063756839, 0.22708824263167696, 0.9738741859493231, 0.1578266401303058, 0.987466835729271, 0.1094282421945247, 0.9939946980795302, 0.07578502579373089, 0.9971241797617003, 0.0524566586794737, 0.998623201693304, 0.036299828834586045, 0.999340944035908, 0.025116222909773774, 0.9996845379152098, 0.017377133621600687, 0.9998490062139868, 0.012022354714795905, 0.9999277288819985, 0.008317541804702242, 0.9999654086508828, 0.005754367615745513, 0.9999834434896124, 0.003981061189587565, 0.9999920755445039, 0.002754225221179269, 0.9999962071145225, 0.0019054595649118375, 0.9999981846102755, 0.0013182563567451652, 0.9999991310997115, 0.0009120107129263191, 0.9999995841181433, 0.0006309573026154199, 0.9999998009464214, 0.0004365158183774367, 0.9999999047269656, 0.0003019951674498205, 0.9999999543994583, 0.00020892961156538582, 0.9999999781742085, 0.00014454397657126753, 0.9999999895535193]"
284,Series 8_P1,Series 8,1,"[0.8414709848078965, 0.5403023058681398, 0.6379482434770828, 0.770079241795612, 0.4605636414688446, 0.8876266851311747, 0.32511290968878426, 0.9456752063756839, 0.22708824263167696, 0.9738741859493231, 0.1578266401303058, 0.987466835729271, 0.1094282421945247, 0.9939946980795302, 0.07578502579373089, 0.9971241797617003, 0.0524566586794737, 0.998623201693304, 0.036299828834586045, 0.999340944035908, 0.025116222909773774, 0.9996845379152098, 0.017377133621600687, 0.9998490062139868, 0.012022354714795905, 0.9999277288819985, 0.008317541804702242, 0.9999654086508828, 0.005754367615745513, 0.9999834434896124, 0.003981061189587565, 0.9999920755445039, 0.002754225221179269, 0.9999962071145225, 0.0019054595649118375, 0.9999981846102755, 0.0013182563567451652, 0.9999991310997115, 0.0009120107129263191, 0.9999995841181433, 0.0006309573026154199, 0.9999998009464214, 0.0004365158183774367, 0.9999999047269656, 0.0003019951674498205, 0.9999999543994583, 0.00020892961156538582, 0.9999999781742085, 0.00014454397657126753, 0.9999999895535193]"
449,Series 5_P3,Series 5,3,"[0.1411200080598672, -0.9899924966004454, 0.8753212281087593, -0.4835418778370426, 0.9909139716143729, 0.13449721506198475, 0.8378830663105294, 0.5458497661353945, 0.6344218100263304, 0.7729870419113859, 0.45775454849949265, 0.8890786091949494, 0.3230433150473513, 0.9463841802371898, 0.22561403156603146, 0.9742167668237505, 0.15679259586948702, 0.9876315516833734, 0.10870816062226082, 0.994073707435281, 0.07528529299888895, 0.997162035307237, 0.05211041173597105, 0.9986413295015921, 0.03606011344343427, 0.9993496226138511, 0.024950323733977618, 0.9996886922165168, 0.01726234067556841, 0.99985099469591, 0.011942931187824895, 0.9999286806540969, 0.00826259209200955, 0.9999658642033342, 0.005716351021546913, 0.9999836615320264, 0.003954759906772847, 0.9999921799064629, 0.002736029104469919, 0.999996257065365, 0.0018928709030918876, 0.9999982085182674, 0.0013095471224268333, 0.9999991425427994, 0.0009059853921803183, 0.9999995895951503, 0.0006267887982157247, 0.9999998035678819, 0.0004336319176339958, 0.9999999059816755]"
453,Series 19_P3,Series 19,3,"[0.1411200080598672, -0.9899924966004454, 0.8753212281087593, -0.4835418778370426, 0.9909139716143729, 0.13449721506198475, 0.8378830663105294, 0.5458497661353945, 0.6344218100263304, 0.7729870419113859, 0.45775454849949265, 0.8890786091949494, 0.3230433150473513, 0.9463841802371898, 0.22561403156603146, 0.9742167668237505, 0.15679259586948702, 0.9876315516833734, 0.10870816062226082, 0.994073707435281, 0.07528529299888895, 0.997162035307237, 0.05211041173597105, 0.9986413295015921, 0.03606011344343427, 0.9993496226138511, 0.024950323733977618, 0.9996886922165168, 0.01726234067556841, 0.99985099469591, 0.011942931187824895, 0.9999286806540969, 0.00826259209200955, 0.9999658642033342, 0.005716351021546913, 0.9999836615320264, 0.003954759906772847, 0.9999921799064629, 0.002736029104469919, 0.999996257065365, 0.0018928709030918876, 0.9999982085182674, 0.0013095471224268333, 0.9999991425427994, 0.0009059853921803183, 0.9999995895951503, 0.0006267887982157247, 0.9999998035678819, 0.0004336319176339958, 0.9999999059816755]"
438,Series 20_P4,Series 20,4,"[-0.7568024953079283, -0.6536436208636119, 0.3655920160558457, -0.9307752026113622, 0.9415062110105988, -0.33699562998422666, 0.9698280473731213, 0.24378998857303116, 0.7933832927126037, 0.6087223922647392, 0.5923377252484391, 0.8056897785422777, 0.42466449969116443, 0.9053507953837855, 0.2987962489704325, 0.9543169293275685, 0.20838457529672513, 0.9780469665503817, 0.1447212212895203, 0.989472469606138, 0.10030648729934574, 0.9949565862919176, 0.06945606721041446, 0.9975850112785689, 0.048072042985881594, 0.9988438710244778, 0.03326441315781774, 0.9994465862752576, 0.023015565055894787, 0.9997351067983749, 0.01592361380950573, 0.999873211223926, 0.011016691956451144, 0.9999393144077978, 0.0076217690767637685, 0.9999709538962321, 0.005273002518337972, 0.9999860976255828, 0.003648035265934889, 0.9999933458972107, 0.0025238266985760983, 0.9999968151443261, 0.0017460624417461102, 0.9999984756318129, 0.001207980394376433, 0.9999992703914172, 0.0008357183550604627, 0.9999996507873545, 0.0005781758760855534, 0.9999998328563142]"
