Text,Image
"Hail Durga, Ma Tara, destroyer of sorrows.
Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains).
As Ma Chandi, her ten arms stretch in ten directions.
Her third eye shines brightly in the middle of her forehead.
Lakshmi, with Saraswati on her left, Kartik and Ganesh
Along with the lion, the Asura, Joya and Bijoya accompany the Mother. 
","[[[124 129 133]
  [ 92  97  93]
  [101 103  90]
  ...
  [ 77  96  50]
  [ 68  84  57]
  [ 57  69  67]]

 [[126 131 135]
  [ 80  85  81]
  [ 91  93  82]
  ...
  [102 121  76]
  [ 84 100  73]
  [ 35  47  47]]

 [[ 90  95  99]
  [ 53  58  54]
  [ 94  96  85]
  ...
  [118 136  94]
  [ 95 111  85]
  [ 45  56  58]]

 ...

 [[142  51  56]
  [144  58  61]
  [124  56  57]
  ...
  [116 116  80]
  [234 224 126]
  [236 224 142]]

 [[155  54  58]
  [160  66  67]
  [139  63  63]
  ...
  [103 107  72]
  [225 220 118]
  [219 210 133]]

 [[166  57  60]
  [160  56  57]
  [139  53  54]
  ...
  [112 116  83]
  [237 232 130]
  [220 210 138]]]"
"One day, the goddess Durga bestowed her grace
And revealed a cache of precious gems in a pomegranate grove. 
Kalketu found the treasure under the pomegranate tree
(With this) he cleared the forest named Gujarat and established a town.
Two more pots of gems remained.
Which Kalketu filled into jars.
Sealing them carefully, he carried the jars home
Where the beautiful Khullona (Phullora) waited at the doorway of her thatched hut
For twelve years, the ascetic had been languishing in jail. 
Meanwhile, Khullona had given birth to (their son) Srimonto
Srimonto grew up to be a bright young man
And wished to go out in search of his father.
“You are my only son, the light of my life,” (cried Khullona) 
“If you leave for even a moment, I shall feel abandoned. “
But, if you must go, do pray to Durga.”
On being invoked, Chandi (Durga) appeared
And Khullona handed over Srimonto to the goddess. ","[[[108 133  91]
  [100 124  74]
  [132 150 100]
  ...
  [125  50  55]
  [123  48  53]
  [128  53  58]]

 [[106 132  87]
  [119 141  94]
  [117 133  94]
  ...
  [118  43  48]
  [120  43  49]
  [125  46  51]]

 [[111 135  87]
  [121 142 101]
  [ 80  92  70]
  ...
  [124  48  52]
  [128  47  53]
  [125  44  50]]

 ...

 [[118 142  94]
  [123 145  98]
  [132 150 112]
  ...
  [ 49  42  26]
  [161 153 107]
  [214 205 136]]

 [[124 148 100]
  [120 142  95]
  [131 149 111]
  ...
  [ 38  32   6]
  [152 144  79]
  [191 185  89]]

 [[126 150 100]
  [121 143  96]
  [137 155 117]
  ...
  [ 39  33   1]
  [147 141  63]
  [178 172  62]]]"
"Shouting “Hail Durga,” Srimonto boarded the boat
And the boatmen set sail.
They were sailing peacefully over the waters
When at Magora, struck by misfortune, they were caught in a terrible storm. 
(And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. 
She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus.
She was the mother of Ganesh, swallowing an elephant.
Srimonto, moved by this wondrous sight
Bowed and offered his salutations a million times.","[[[ 37  50  43]
  [ 46  58  56]
  [ 46  57  59]
  ...
  [170 199 197]
  [179 209 207]
  [164 194 194]]

 [[ 27  27  37]
  [ 31  31  43]
  [ 30  29  47]
  ...
  [118 139 142]
  [ 83 107 109]
  [189 213 215]]

 [[146 143  92]
  [142 138  90]
  [135 128  84]
  ...
  [109 124 131]
  [ 30  43  51]
  [ 87  97 106]]

 ...

 [[ 44  50  36]
  [ 96 107  90]
  [128 148 121]
  ...
  [182 217 247]
  [203 224 253]
  [119 128 157]]

 [[ 77  83  57]
  [118 131 105]
  [111 132  99]
  ...
  [180 215 245]
  [208 229 255]
  [139 148 177]]

 [[107 113  79]
  [119 133 100]
  [103 127  91]
  ...
  [180 215 245]
  [213 234 255]
  [152 161 190]]]"
"Finally, the boat docked at Ratnamala quay to the sound of kettledrums.
Seeing them, the guards and wardens of the kingdom whispered among themselves.
It seemed as if everyone was looting the kingdom 
And the king was kept totally in the dark.","[[[ 68  64  55]
  [ 74  70  61]
  [ 72  68  59]
  ...
  [110 134 100]
  [106 133  98]
  [101 133  96]]

 [[ 60  61  55]
  [ 63  64  58]
  [ 63  64  58]
  ...
  [106 132  87]
  [108 137  93]
  [111 142  98]]

 [[ 48  49  51]
  [ 45  46  48]
  [ 47  48  50]
  ...
  [ 99 116  74]
  [107 125  87]
  [112 132  95]]

 ...

 [[235 210 120]
  [ 94  83  29]
  [  8  11   0]
  ...
  [ 65  58  65]
  [131 124  95]
  [243 239 168]]

 [[237 217  96]
  [178 171  90]
  [ 83  90  57]
  ...
  [ 63  56  63]
  [120 113  84]
  [238 234 163]]

 [[233 211  92]
  [215 204 124]
  [153 157 124]
  ...
  [ 75  69  73]
  [122 116  84]
  [239 235 161]]]"
"The king Shalbahon was seated on a jewelled throne. 
Srimonto stood before him with folded hands
And said, “In your kingdom, O king, resides Kamal Kamini. 
“I witnessed this woman swallowing an elephant.”
The king ordered Srimonto to show him this sight.
And promised him half of his kingdom and his daughter’s hand in marriage in return. 
But if Srimonto failed to show him the scene, the king warned 
He would be beheaded at the execution ground in the south. ","[[[156 153 102]
  [ 33  29  17]
  [ 53  52  58]
  ...
  [112 133 100]
  [ 38  49  35]
  [ 35  29  41]]

 [[207 203 139]
  [ 55  49  27]
  [ 44  42  45]
  ...
  [107 128  95]
  [ 36  47  33]
  [ 38  32  44]]

 [[232 227 145]
  [ 92  86  52]
  [ 30  26  25]
  ...
  [107 129  93]
  [ 38  49  35]
  [ 38  32  46]]

 ...

 [[ 32  32  34]
  [ 30  30  32]
  [ 29  29  31]
  ...
  [ 58  59  64]
  [ 57  58  63]
  [ 56  57  62]]

 [[ 32  32  34]
  [ 29  29  31]
  [ 31  31  33]
  ...
  [ 49  50  55]
  [ 52  53  58]
  [ 60  61  66]]

 [[ 31  31  33]
  [ 28  28  30]
  [ 32  32  34]
  ...
  [ 42  43  48]
  [ 51  52  57]
  [ 69  70  75]]]"
"The king travelled to Kalidaho to see Kamal Kamini.
But to Srimonto’s embarrassment, the vision did not appear. 
The goddess Bhagoboti stayed hidden among the lotuses.
Wishing to upset Srimonto, she did not reveal herself.","[[[ 51  56  52]
  [ 55  57  54]
  [ 68  68  66]
  ...
  [ 49  54  57]
  [ 53  57  66]
  [ 49  53  65]]

 [[ 51  53  50]
  [ 62  64  61]
  [ 51  51  49]
  ...
  [ 62  66  69]
  [ 57  60  67]
  [ 42  42  52]]

 [[ 58  60  57]
  [ 62  64  61]
  [ 52  52  50]
  ...
  [ 73  72  77]
  [ 60  59  65]
  [ 54  53  61]]

 ...

 [[150  59  56]
  [129  40  42]
  [ 97  46  29]
  ...
  [114 140  93]
  [130 152 113]
  [ 93 115  79]]

 [[141  53  49]
  [162  58  65]
  [133  54  47]
  ...
  [105 131  84]
  [124 146 107]
  [125 147 111]]

 [[139  51  47]
  [161  57  64]
  [133  54  47]
  ...
  [118 144  97]
  [113 135  96]
  [120 142 106]]]"
"The enraged king summoned the warden and had Srimonto chained.
Bound in chains and in pain, Srimonto started weeping. 
And as he wept, he invoked Durga
“Oh Shankari,” he cried, “I shall die, but you seem to be unconcerned 
“That your name, Trailokyotarini will be tarnished.”
Chandi, who in the form of a kite, was flying in the sky (heard his prayer). 
She assumed the garb of an aged Brahmin woman and appeared before Srimonto.
","[[[227 212 111]
  [227 212 111]
  [227 212 111]
  ...
  [106 106 104]
  [117 118 122]
  [102 106 109]]

 [[226 211 110]
  [226 211 110]
  [226 211 110]
  ...
  [ 55  54  52]
  [ 51  52  56]
  [ 45  49  52]]

 [[224 209 106]
  [224 209 106]
  [225 210 107]
  ...
  [ 69  68  66]
  [ 67  66  71]
  [ 75  76  80]]

 ...

 [[ 99 121  72]
  [102 125  73]
  [ 99 124  69]
  ...
  [ 63  59  50]
  [153 149 102]
  [250 247 166]]

 [[108 126  84]
  [111 129  87]
  [107 125  83]
  ...
  [ 51  46  42]
  [142 138  93]
  [252 249 170]]

 [[107 119  95]
  [111 124  98]
  [106 121  92]
  ...
  [ 58  53  50]
  [175 170 130]
  [245 241 167]]]"
"His chains fell away from him
And a tearful Srimonto cried out in relief.
With her eighteen arms Mother (Chandi) stood before him at the execution ground. 
“Whose home have you visited, Ma? Who worshipped you?
“My life has become worthwhile, Mother, having seen your eighteen arms.”","[[[168  88  39]
  [234 195  74]
  [211 208  75]
  ...
  [216 207 106]
  [217 207 109]
  [215 205 108]]

 [[166  83  39]
  [221 179  67]
  [223 219  93]
  ...
  [216 209 103]
  [217 210 106]
  [215 208 104]]

 [[146  60  27]
  [196 147  54]
  [231 221 106]
  ...
  [216 209 103]
  [216 209 103]
  [215 208 102]]

 ...

 [[111 135  83]
  [124 147 101]
  [ 98 115  83]
  ...
  [112 108  71]
  [127 122  90]
  [ 92  85  66]]

 [[126 145  99]
  [108 123  90]
  [ 51  62  46]
  ...
  [ 47  45  32]
  [ 49  47  35]
  [ 45  41  42]]

 [[104 119  80]
  [ 55  68  42]
  [ 31  38  31]
  ...
  [ 58  58  60]
  [ 48  48  50]
  [ 55  53  66]]]"
"“I hereby grant you a boon, Srimonto”, (Durga replied)
“You shall go and marry the daughter of King Shalbahon.”
Thus, Srimonto married the princess Sushila.
","[[[199 190 111]
  [198 189 110]
  [197 188 109]
  ...
  [197 190 118]
  [197 190 118]
  [199 192 120]]

 [[200 191 112]
  [199 190 111]
  [198 189 110]
  ...
  [197 190 118]
  [196 189 117]
  [197 190 118]]

 [[200 191 112]
  [200 191 112]
  [200 191 112]
  ...
  [197 190 118]
  [195 188 116]
  [195 188 116]]

 ...

 [[ 87 104  60]
  [ 96 110  75]
  [ 68  76  55]
  ...
  [ 27  29  26]
  [ 35  37  36]
  [ 34  39  35]]

 [[ 98 110  70]
  [ 89  98  67]
  [ 58  62  47]
  ...
  [ 42  45  36]
  [ 26  27  29]
  [ 33  37  38]]

 [[ 93 105  65]
  [ 77  86  55]
  [ 43  47  32]
  ...
  [ 62  65  56]
  [ 35  36  38]
  [ 31  35  36]]]"
"After the wedding, Srimonto returned home","[[[154 147  92]
  [234 228 152]
  [208 203 119]
  ...
  [175 173 124]
  [193 190 111]
  [189 181 106]]

 [[136 129  75]
  [225 219 145]
  [211 206 122]
  ...
  [178 176 125]
  [191 188 107]
  [184 177  99]]

 [[112 104  55]
  [214 207 135]
  [218 213 129]
  ...
  [188 185 132]
  [195 190 108]
  [186 177  98]]

 ...

 [[ 88 107  75]
  [104 124  89]
  [105 126  85]
  ...
  [ 40  36  53]
  [ 41  41  53]
  [ 39  43  42]]

 [[101 117  80]
  [ 99 115  76]
  [102 119  75]
  ...
  [ 47  43  60]
  [ 46  46  58]
  [ 45  49  48]]

 [[104 119  78]
  [103 118  75]
  [100 116  71]
  ...
  [ 49  45  62]
  [ 45  45  57]
  [ 40  44  43]]]"
