,movie_id,movie_title,release_date,video_release_date,IMDb_URL,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Genre,Description,LRD_Input_Text
0,1,Toy Story (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Animation, Children's, Comedy","Toy Story is a 1995 American animated adventure comedy film produced by Pixar Animation Studios for Walt Disney Pictures. It is the first installment in the Toy Story franchise and the first entirely computer-animated feature film, as well as the first feature film from Pixar. The film was directed by John Lasseter, written by Joss Whedon, Andrew Stanton, Joel Cohen, and Alec Sokolow based on a story by Lasseter, Stanton, Pete Docter, and Joe Ranft, produced by Bonnie Arnold and Ralph Guggenheim, and features the voices of Tom Hanks, Tim Allen, Annie Potts, John Ratzenberger, Don Rickles, Wallace Shawn, and Jim Varney. Taking place in a world where toys come to life when humans are not present, Toy Story follows an old-fashioned pullstring cowboy doll named Woody Pride, referred to simply by his first name, and a modern space cadet action figure, Buzz Lightyear, as Woody develops jealousy towards Buzz when he becomes their owner Andy's favorite toy.","movie_title: Toy Story (1995). Genre: Animation, Children's, Comedy. Summary: Toy Story is a 1995 American animated adventure comedy film produced by Pixar Animation Studios for Walt Disney Pictures. It is the first installment in the Toy Story franchise and the first entirely computer-animated feature film, as well as the first feature film from Pixar. The film was directed by John Lasseter, written by Joss Whedon, Andrew Stanton, Joel Cohen, and Alec Sokolow based on a story by Lasseter, Stanton, Pete Docter, and Joe Ranft, produced by Bonnie Arnold and Ralph Guggenheim, and features the voices of Tom Hanks, Tim Allen, Annie Potts, John Ratzenberger, Don Rickles, Wallace Shawn, and Jim Varney. Taking place in a world where toys come to life when humans are not present, Toy Story follows an old-fashioned pullstring cowboy doll named Woody Pride, referred to simply by his first name, and a modern space cadet action figure, Buzz Lightyear, as Woody develops jealousy towards Buzz when he becomes their owner Andy's favorite toy."
1,2,GoldenEye (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action, Adventure, Thriller","GoldenEye is a 1995 action spy film, the seventeenth in the James Bond series produced by Eon Productions, and the first to star Pierce Brosnan as the fictional MI6 agent James Bond. Directed by Martin Campbell, it was the first in the series not to use any story elements from the works of novelist Ian Fleming. GoldenEye was also the first James Bond film not produced by Albert R. Broccoli, following his stepping down from Eon Productions and replacement by his daughter, Barbara Broccoli (along with Michael G. Wilson, although Broccoli was still involved as a consultant producer; it was his final film project before his death in 1996). The story was conceived and written by Michael France, with later collaboration by other writers. In the film, Bond fights to prevent rogue ex-MI6 agent Alec Trevelyan (Sean Bean) from using a satellite weapon against London to cause a global financial collapse.","movie_title: GoldenEye (1995). Genre: Action, Adventure, Thriller. Summary: GoldenEye is a 1995 action spy film, the seventeenth in the James Bond series produced by Eon Productions, and the first to star Pierce Brosnan as the fictional MI6 agent James Bond. Directed by Martin Campbell, it was the first in the series not to use any story elements from the works of novelist Ian Fleming. GoldenEye was also the first James Bond film not produced by Albert R. Broccoli, following his stepping down from Eon Productions and replacement by his daughter, Barbara Broccoli (along with Michael G. Wilson, although Broccoli was still involved as a consultant producer; it was his final film project before his death in 1996). The story was conceived and written by Michael France, with later collaboration by other writers. In the film, Bond fights to prevent rogue ex-MI6 agent Alec Trevelyan (Sean Bean) from using a satellite weapon against London to cause a global financial collapse."
2,3,Four Rooms (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Thriller,Four Rooms is a 1995 American anthology ,movie_title: Four Rooms (1995). Genre: Thriller. Summary: Four Rooms is a 1995 American anthology 
3,4,Get Shorty (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action, Comedy, Drama","Get Shorty is a 1995 American gangster comedy film directed by Barry Sonnenfeld and written by Scott Frank, based on Elmore Leonard's 1990 novel. The film stars John Travolta, Gene Hackman, Rene Russo, Delroy Lindo, James Gandolfini, Dennis Farina, and Danny DeVito. It follows Chili Palmer (Travolta), a Miami mobster and loan shark who inadvertently gets involved in Hollywood feature film production. Get Shorty was released on October 20, 1995 by MGM/UA Distribution Co. in the United States and by United International Pictures internationally. The film received critical acclaim and went on to gross $115.1 million against a $30 million budget. Travolta went on to win the Golden Globe Award for Best Actor – Motion Picture Musical or Comedy for his role in the film at the 53rd Golden Globe Awards. The film's success launched its titular franchise, including a sequel titled Be Cool (2005) and a television series, which debuted in 2017.","movie_title: Get Shorty (1995). Genre: Action, Comedy, Drama. Summary: Get Shorty is a 1995 American gangster comedy film directed by Barry Sonnenfeld and written by Scott Frank, based on Elmore Leonard's 1990 novel. The film stars John Travolta, Gene Hackman, Rene Russo, Delroy Lindo, James Gandolfini, Dennis Farina, and Danny DeVito. It follows Chili Palmer (Travolta), a Miami mobster and loan shark who inadvertently gets involved in Hollywood feature film production. Get Shorty was released on October 20, 1995 by MGM/UA Distribution Co. in the United States and by United International Pictures internationally. The film received critical acclaim and went on to gross $115.1 million against a $30 million budget. Travolta went on to win the Golden Globe Award for Best Actor – Motion Picture Musical or Comedy for his role in the film at the 53rd Golden Globe Awards. The film's success launched its titular franchise, including a sequel titled Be Cool (2005) and a television series, which debuted in 2017."
4,5,Copycat (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Copycat%20(1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"Crime, Drama, Thriller","Copycat is a 1995 American psychological thriller horror film directed by Jon Amiel and starring Sigourney Weaver, Holly Hunter, and Dermot Mulroney. The score was composed by Christopher Young. The film follows a criminal psychologist and a homicide detective who must work together to find a serial killer who is committing copycat crimes modeled after notorious murderers.","movie_title: Copycat (1995). Genre: Crime, Drama, Thriller. Summary: Copycat is a 1995 American psychological thriller horror film directed by Jon Amiel and starring Sigourney Weaver, Holly Hunter, and Dermot Mulroney. The score was composed by Christopher Young. The film follows a criminal psychologist and a homicide detective who must work together to find a serial killer who is committing copycat crimes modeled after notorious murderers."
5,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,"Shanghai Triad is a 1995 Chinese crime-drama film, directed by Zhang Yimou and starring Gong Li. The script is written by Bi Feiyu based on Li Xiao's 1994 novel Rules of a Clan (门规). The film is set in the criminal underworld of 1930s Shanghai, Republic of China and spans seven days. Shanghai Triad's Chinese title reads ""Row, row, row to Grandma Bridge"", which refers to a well known traditional Chinese lullaby.","movie_title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995). Genre: Drama. Summary: Shanghai Triad is a 1995 Chinese crime-drama film, directed by Zhang Yimou and starring Gong Li. The script is written by Bi Feiyu based on Li Xiao's 1994 novel Rules of a Clan (门规). The film is set in the criminal underworld of 1930s Shanghai, Republic of China and spans seven days. Shanghai Triad's Chinese title reads ""Row, row, row to Grandma Bridge"", which refers to a well known traditional Chinese lullaby."
6,7,Twelve Monkeys (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Drama, Sci-Fi","12 Monkeys is a 1995 American post-apocalyptic science fiction thriller film directed by Terry Gilliam from a screenplay by David Peoples and Janet Peoples, based on Chris Marker's 1962 short film La Jetée. It stars Bruce Willis, Madeleine Stowe, Brad Pitt, and Christopher Plummer. Set in a post-apocalyptic future devastated by disease, the film follows a convict who is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","movie_title: Twelve Monkeys (1995). Genre: Drama, Sci-Fi. Summary: 12 Monkeys is a 1995 American post-apocalyptic science fiction thriller film directed by Terry Gilliam from a screenplay by David Peoples and Janet Peoples, based on Chris Marker's 1962 short film La Jetée. It stars Bruce Willis, Madeleine Stowe, Brad Pitt, and Christopher Plummer. Set in a post-apocalyptic future devastated by disease, the film follows a convict who is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
7,8,Babe (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Babe%20(1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Children's, Comedy, Drama","Babe is a 1995 comedy-drama film directed by Chris Noonan, who co-wrote it with George Miller. It is an adaptation of Dick King-Smith's 1983 novel The Sheep-Pig, which tells the story of a farm pig who wants to do the work of a sheepdog. The film is narrated by Roscoe Lee Browne and the main animal characters are played by both real animals and animatronic puppets.","movie_title: Babe (1995). Genre: Children's, Comedy, Drama. Summary: Babe is a 1995 comedy-drama film directed by Chris Noonan, who co-wrote it with George Miller. It is an adaptation of Dick King-Smith's 1983 novel The Sheep-Pig, which tells the story of a farm pig who wants to do the work of a sheepdog. The film is narrated by Roscoe Lee Browne and the main animal characters are played by both real animals and animatronic puppets."
8,9,Dead Man Walking (1995),01-Jan-1995,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama,"Dead Man Walking is a 1995 American crime drama film starring Susan Sarandon and Sean Penn, and co-produced and directed by Tim Robbins, who adapted the screenplay from the 1993 non-fiction book of the same name. It marked Peter Sarsgaard’s film debut.","movie_title: Dead Man Walking (1995). Genre: Drama. Summary: Dead Man Walking is a 1995 American crime drama film starring Susan Sarandon and Sean Penn, and co-produced and directed by Tim Robbins, who adapted the screenplay from the 1993 non-fiction book of the same name. It marked Peter Sarsgaard’s film debut."
9,10,Richard III (1995),22-Jan-1996,,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"Drama, War","Richard III is a 1995 film adaptation of William Shakespeare's play of the same name. Directed by Richard Loncraine, the film adapts the play's story and characters to a setting based on 1930s Great Britain, with Richard depicted as a fascist plotting to usurp the throne. Ian McKellen portrays the title character, as well as co-writing the screenplay with Loncraine.","movie_title: Richard III (1995). Genre: Drama, War. Summary: Richard III is a 1995 film adaptation of William Shakespeare's play of the same name. Directed by Richard Loncraine, the film adapts the play's story and characters to a setting based on 1930s Great Britain, with Richard depicted as a fascist plotting to usurp the throne. Ian McKellen portrays the title character, as well as co-writing the screenplay with Loncraine."
